song_id,song_name,song_songer,song_publishTime,sentiment,confidence,positive_prob,negative_prob
1302084161,听你说晚安,Mc光光,1.54E+12,1,0.369066,0.71608,0.28392
1305596385,相见恨晚,刘瀚声Rainy Y,1.54E+12,1,0.977342,0.989804,0.010196
1305793380,MEDS,Sbazzo,1.54E+12,1,0.590476,0.815714,0.184286
1294436322,superhero,Mc光光,1.54E+12,-1,0.987989,0.00540497,0.994595
866007361,现世道,Wayne,1.53E+12,1,0.618719,0.828423,0.171577
507154445,假如他,吕大叶,1.52E+12,-1,0.410748,0.265163,0.734837
865277100,Mr.Rapper,Sbazzo,1.53E+12,1,0.165718,0.624573,0.375427
865607288,Bump n Jump,Mc光光,1.54E+12,-1,0.556893,0.199398,0.800602
419373878,开门见山,Jony J,1.44E+12,-1,0.994445,0.00249967,0.9975
862916632,Mr.nobody,ETON恶童,1.53E+12,-1,0.938508,0.0276715,0.972328
546018504,命中,KT,1.52E+12,1,0.998826,0.999472,0.000528142
454698660,Coming Home,MC Hotdog,1.45E+12,1,0.980582,0.991262,0.00873789
571340930,got2b,Toy王奕,1.53E+12,1,0.969755,0.98639,0.0136104
569200290,抱着你,Toy王奕,1.53E+12,-1,0.967268,0.0147295,0.985271
358460,纯正好货,黄金年代,1.21E+12,1,0.487307,0.769288,0.230712
33941997,兄弟 ,龙井说唱 孙旭,1.39E+12,-1,0.977276,0.0102256,0.989774
135121,我的生活,MC Hotdog,9.86E+11,1,0.78525,0.903363,0.0966374
135028,离开,MC Hotdog,1.34E+12,-1,0.967261,0.0147326,0.985267
463842914,无人喝彩,小老虎,1.35E+12,1,0.0112812,0.555077,0.444923
28828011,说唱艺术,小老虎,1.37E+12,1,0.760244,0.89211,0.10789
33894141,intro冷板凳,马思唯,1.39E+12,-1,0.852216,0.066503,0.933497
1424846676,关于小熊（翻自 Cee） ,李明轩Alex.L,1.58E+12,1,0.756264,0.890319,0.109681
534621822,焚书坑儒,Mc光光,1.52E+12,-1,0.993711,0.0028302,0.99717
384206,Best Friend,天王星,1.11E+12,-1,0.183885,0.367252,0.632748
1319854361,押韵歌,AR（刘夫阳）,1.55E+12,-1,0.276532,0.325561,0.674439
27562140,从这里出发,Mc光光,1.34E+12,-1,0.532528,0.210362,0.789638
5251443,带着梦想飞,FatKan,1.21E+12,1,0.179287,0.630679,0.369321
5252134,亚洲精神,醉人,1.20E+12,1,0.80478,0.912151,0.0878488
65795,I Can Fly,陈冠希,1.29E+12,1,0.966795,0.985058,0.0149423
460225644,杀死差不多先生,EB高梦博,1.44E+12,-1,0.997252,0.00123654,0.998764
1417320664,不想过冬天,Lil Dream,1.58E+12,1,0.646584,0.840963,0.159037
1494794636,Sunlight,Lionzed,1.61E+12,1,0.582083,0.811938,0.188062
1320326290,Random Thoughts,Lionzed,1.54E+12,-1,0.0274362,0.437654,0.562346
1494606791,Punchline,WaShingZ,1.61E+12,-1,0.994942,0.002276,0.997724
1473837417,“和她”,WaShingZ,1.60E+12,-1,0.151403,0.381869,0.618131
1411790451,诙谐,直火帮XZT,1.58E+12,-1,0.972118,0.0125471,0.987453
1481948521,今夜不想你一人走,浦东老农民,1.60E+12,-1,0.964905,0.0157926,0.984207
